customer_ID,gender,senior_citizen,partner,dependents,tenure,contract,payment_method,paperless_billing,monthly_charges,total_charges,"Internet Type","Online Security","Online Backup","Premium Tech Support","Streaming TV","Streaming Movies","Churn Category","Churn Reason","Satisfaction Score","Churn Score",CLTV,churn
7590-VHVEG,Female,No,Yes,No,1,Month-to-month,"Electronic check",Yes,29.85,29.85,DSL,No,Yes,No,No,No,,,3,27,3964,No
5575-GNVDE,Male,No,No,No,34,"One year","Mailed check",No,56.95,1889.5,DSL,Yes,No,No,No,No,,,3,61,3441,No
3668-QPYBK,Male,No,No,No,2,Month-to-month,"Mailed check",Yes,53.85,108.15,DSL,Yes,Yes,No,No,No,Competitor,"Competitor made better offer",1,86,3239,Yes
7795-CFOCW,Male,No,No,No,45,"One year","Bank transfer (automatic)",No,42.3,1840.75,DSL,Yes,No,Yes,No,No,,,3,66,4307,No
9237-HQITU,Female,No,No,No,2,Month-to-month,"Electronic check",Yes,70.7,151.65,"Fiber Optic",No,No,No,No,No,Other,Moved,2,67,2701,Yes
9305-CDSKC,Female,No,No,No,8,Month-to-month,"Electronic check",Yes,99.65,820.5,Cable,No,No,No,Yes,Yes,Other,Moved,3,86,5372,Yes
1452-KIOVK,Male,No,No,Yes,22,Month-to-month,"Credit card (automatic)",Yes,89.1,1949.4,"Fiber Optic",No,Yes,No,Yes,No,,,4,43,4459,No
6713-OKOMC,Female,No,No,No,10,Month-to-month,"Mailed check",No,29.75,301.9,DSL,Yes,No,No,No,No,,,3,51,2013,No
7892-POOKP,Female,No,Yes,No,28,Month-to-month,"Electronic check",Yes,104.8,3046.05,"Fiber Optic",No,No,Yes,Yes,Yes,Other,Moved,3,84,5003,Yes
6388-TABGU,Male,No,No,Yes,62,"One year","Bank transfer (automatic)",No,56.15,3487.95,DSL,Yes,Yes,No,No,No,,,4,58,4529,No
9763-GRSKD,Male,No,Yes,Yes,13,Month-to-month,"Mailed check",Yes,49.95,587.45,DSL,Yes,No,No,No,No,,,3,76,5764,No
7469-LKBCI,Male,No,No,No,16,"Two year","Credit card (automatic)",No,18.95,326.8,None,No,No,No,No,No,,,3,39,4726,No
8091-TTVAX,Male,No,Yes,No,58,"One year","Credit card (automatic)",No,100.35,5681.1,"Fiber Optic",No,No,No,Yes,Yes,,,3,71,6432,No
0280-XJGEX,Male,No,No,No,49,Month-to-month,"Bank transfer (automatic)",Yes,103.7,5036.3,"Fiber Optic",No,Yes,No,Yes,Yes,Competitor,"Competitor had better devices",1,89,5340,Yes
5129-JLPIS,Male,No,No,No,25,Month-to-month,"Electronic check",Yes,105.5,2686.05,"Fiber Optic",Yes,No,Yes,Yes,Yes,,,3,75,5822,No
3655-SNQYZ,Female,No,Yes,Yes,69,"Two year","Credit card (automatic)",No,113.25,7895.15,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,,,4,43,5141,No
8191-XWSZG,Female,No,No,No,52,"One year","Mailed check",No,20.65,1022.95,None,No,No,No,No,No,,,4,35,5186,No
9959-WOFKT,Male,No,No,Yes,71,"Two year","Bank transfer (automatic)",No,106.7,7382.25,"Fiber Optic",Yes,No,No,Yes,Yes,,,3,73,4479,No
4190-MFLUW,Female,No,Yes,Yes,10,Month-to-month,"Credit card (automatic)",No,55.2,528.35,Cable,No,No,Yes,No,No,Competitor,"Competitor made better offer",1,78,5925,Yes
4183-MYFRB,Female,No,No,No,21,Month-to-month,"Electronic check",Yes,90.05,1862.9,"Fiber Optic",No,Yes,No,No,Yes,,,3,57,5982,No
8779-QRDMV,Male,Yes,No,No,1,Month-to-month,"Electronic check",Yes,39.65,39.65,DSL,No,No,No,No,Yes,Competitor,"Competitor offered more data",3,91,5433,Yes
1680-VDCWW,Male,No,Yes,No,12,"One year","Bank transfer (automatic)",No,19.8,202.25,None,No,No,No,No,No,,,4,77,5279,No
1066-JKSGK,Male,No,No,No,1,Month-to-month,"Mailed check",No,20.15,20.15,None,No,No,No,No,No,Competitor,"Competitor made better offer",1,92,4832,Yes
3638-WEABW,Female,No,Yes,No,58,"Two year","Credit card (automatic)",Yes,59.9,3505.1,Cable,No,Yes,Yes,No,No,,,3,53,6407,No
6322-HRPFA,Male,No,Yes,Yes,49,Month-to-month,"Credit card (automatic)",No,59.6,2970.3,Cable,Yes,Yes,Yes,No,No,,,3,79,4986,No
6865-JZNKO,Female,No,No,No,30,Month-to-month,"Bank transfer (automatic)",Yes,55.3,1530.6,Cable,Yes,Yes,No,No,No,,,4,65,2725,No
6467-CHFZW,Male,No,Yes,Yes,47,Month-to-month,"Electronic check",Yes,99.35,4749.15,"Fiber Optic",No,Yes,No,Yes,Yes,Competitor,"Competitor had better devices",1,77,5789,Yes
8665-UTDHZ,Male,No,Yes,Yes,1,Month-to-month,"Electronic check",No,30.2,30.2,DSL,No,Yes,No,No,No,Competitor,"Competitor had better devices",1,90,2915,Yes
5248-YGIJN,Male,No,Yes,No,72,"Two year","Credit card (automatic)",Yes,90.25,6369.45,DSL,Yes,Yes,Yes,Yes,Yes,,,3,21,5974,No
8773-HHUOZ,Female,No,No,Yes,17,Month-to-month,"Mailed check",Yes,64.7,1093.1,Cable,No,No,No,Yes,Yes,Competitor,"Competitor offered higher download speeds",1,74,3022,Yes
3841-NFECX,Female,Yes,Yes,No,71,"Two year","Credit card (automatic)",Yes,96.35,6766.95,"Fiber Optic",Yes,Yes,Yes,No,No,,,4,38,5309,No
4929-XIHVW,Male,Yes,Yes,No,2,Month-to-month,"Credit card (automatic)",Yes,95.5,181.65,"Fiber Optic",No,No,No,Yes,Yes,,,5,69,4449,No
6827-IEAUQ,Female,No,Yes,Yes,27,"One year","Mailed check",No,66.15,1874.45,DSL,Yes,Yes,Yes,No,No,,,3,66,3213,No
7310-EGVHZ,Male,No,No,No,1,Month-to-month,"Bank transfer (automatic)",No,20.2,20.2,None,No,No,No,No,No,,,5,77,5526,No
3413-BMNZE,Male,Yes,No,No,1,Month-to-month,"Bank transfer (automatic)",No,45.25,45.25,DSL,No,No,No,No,No,,,3,40,3144,No
