Customer_ID,risk_score,risk_category
7590-VHVEG,3,"Medium risk"
5575-GNVDE,1,"Low risk"
3668-QPYBK,4,"High risk"
7795-CFOCW,0,"Low risk"
9237-HQITU,5,"High risk"
9305-CDSKC,4,"High risk"
1452-KIOVK,4,"High risk"
6713-OKOMC,3,"Medium risk"
7892-POOKP,3,"Medium risk"
6388-TABGU,1,"Low risk"
9763-GRSKD,2,"Medium risk"
7469-LKBCI,1,"Low risk"
8091-TTVAX,3,"Medium risk"
0280-XJGEX,5,"High risk"
5129-JLPIS,3,"Medium risk"
3655-SNQYZ,2,"Medium risk"
8191-XWSZG,1,"Low risk"
9959-WOFKT,3,"Medium risk"
4190-MFLUW,3,"Medium risk"
4183-MYFRB,4,"High risk"
8779-QRDMV,3,"Medium risk"
1680-VDCWW,2,"Medium risk"
1066-JKSGK,4,"High risk"
3638-WEABW,0,"Low risk"
6322-HRPFA,1,"Low risk"
6865-JZNKO,2,"Medium risk"
6467-CHFZW,5,"High risk"
8665-UTDHZ,4,"High risk"
5248-YGIJN,1,"Low risk"
8773-HHUOZ,3,"Medium risk"
3841-NFECX,2,"Medium risk"
4929-XIHVW,5,"High risk"
6827-IEAUQ,0,"Low risk"
7310-EGVHZ,3,"Medium risk"
3413-BMNZE,3,"Medium risk"
6234-RAAPL,2,"Medium risk"
6047-YHPVI,5,"High risk"
6572-ADKRS,3,"Medium risk"
5380-WJKOV,5,"High risk"
8168-UQWWF,4,"High risk"
8865-TNMNX,2,"Medium risk"
9489-DEDVP,1,"Low risk"
9867-JCZSP,1,"Low risk"
4671-VJLCL,0,"Low risk"
4080-IIARD,1,"Low risk"
3714-NTNFO,4,"High risk"
5948-UJZLF,3,"Medium risk"
7760-OYPDY,6,"High risk"
7639-LIAYI,0,"Low risk"
2954-PIBKO,0,"Low risk"
8012-SOUDQ,4,"High risk"
9420-LOJKX,5,"High risk"
6575-SUVOI,1,"Low risk"
7495-OOKFY,5,"High risk"
4667-QONEA,0,"Low risk"
1658-BYGOY,5,"High risk"
8769-KKTPH,3,"Medium risk"
5067-XJQFU,2,"Medium risk"
3957-SQXML,1,"Low risk"
5954-BDFSG,2,"Medium risk"
0434-CSFON,4,"High risk"
1215-FIGMP,4,"High risk"
0526-SXDJP,1,"Low risk"
0557-ASKVU,0,"Low risk"
5698-BQJOH,5,"High risk"
5122-CYFXA,2,"Medium risk"
8627-ZYGSZ,2,"Medium risk"
3410-YOQBQ,0,"Low risk"
3170-NMYVV,1,"Low risk"
7410-OIEDU,4,"High risk"
2273-QCKXA,2,"Medium risk"
0731-EBJQB,1,"Low risk"
1891-QRQSA,2,"Medium risk"
8028-PNXHQ,1,"Low risk"
5630-AHZIL,2,"Medium risk"
2673-CXQEU,3,"Medium risk"
6416-JNVRK,1,"Low risk"
5590-ZSKRV,3,"Medium risk"
0191-ZHSKZ,2,"Medium risk"
3887-PBQAO,1,"Low risk"
5919-TMRGD,5,"High risk"
8108-UXRQN,3,"Medium risk"
9191-MYQKX,5,"High risk"
9919-YLNNG,3,"Medium risk"
0318-ZOPWS,1,"Low risk"
4445-ZJNMU,5,"High risk"
4808-YNLEU,1,"Low risk"
1862-QRWPE,1,"Low risk"
2796-NNUFI,1,"Low risk"
3016-KSVCP,2,"Medium risk"
4767-HZZHQ,4,"High risk"
2424-WVHPL,3,"Medium risk"
7233-PAHHL,1,"Low risk"
6067-NGCEU,4,"High risk"
9848-JQJTX,3,"Medium risk"
8637-XJIVR,5,"High risk"
9803-FTJCG,0,"Low risk"
0278-YXOOG,3,"Medium risk"
3212-KXOCR,1,"Low risk"
4598-XLKNJ,5,"High risk"
6380-ARCEH,3,"Medium risk"
3679-XASPY,3,"Medium risk"
7123-WQUHX,2,"Medium risk"
5386-THSLQ,1,"Low risk"
3192-NQECA,3,"Medium risk"
6180-YBIQI,3,"Medium risk"
6728-DKUCO,3,"Medium risk"
9750-BOOHV,1,"Low risk"
8597-CWYHH,3,"Medium risk"
2848-YXSMW,1,"Low risk"
0486-HECZI,5,"High risk"
4549-ZDQYY,0,"Low risk"
5712-AHQNN,4,"High risk"
4846-WHAFZ,4,"High risk"
5256-SKJGO,0,"Low risk"
3071-VBYPO,5,"High risk"
9560-BBZXK,1,"Low risk"
5299-RULOA,6,"High risk"
8402-OOOHJ,1,"Low risk"
9445-ZUEQE,3,"Medium risk"
1091-SOZGA,3,"Medium risk"
2928-HLDBA,3,"Medium risk"
0404-SWRVG,5,"High risk"
6497-TILVL,3,"Medium risk"
7219-TLZHO,3,"Medium risk"
4622-YNKIJ,2,"Medium risk"
4412-YLTKF,4,"High risk"
6734-PSBAW,1,"Low risk"
3930-ZGWVE,3,"Medium risk"
2639-UGMAZ,1,"Low risk"
2876-GZYZC,4,"High risk"
6207-WIOLX,3,"Medium risk"
8587-XYZSF,0,"Low risk"
3091-FYHKI,3,"Medium risk"
2372-HWUHI,3,"Medium risk"
7799-LGRDP,1,"Low risk"
7850-VWJUU,3,"Medium risk"
3774-VBNXY,1,"Low risk"
6217-KDYWC,1,"Low risk"
0390-DCFDQ,5,"High risk"
3146-MSEGF,1,"Low risk"
4080-OGPJL,3,"Medium risk"
1095-WGNGG,3,"Medium risk"
2636-SJDOU,3,"Medium risk"
